"No.","Time","Source","Destination","Protocol","Length","Info"
"4913","52.906051","192.168.1.26","192.168.1.12","HTTP","145","HEAD /Belmont-Ride.mp4 HTTP/1.1 "
"4926","52.934679","192.168.1.26","192.168.1.12","HTTP","155","HEAD /New-England-Tablelands.mp4 HTTP/1.1 "
"4938","52.966329","192.168.1.26","192.168.1.12","HTTP","150","HEAD /Benson-and-Hedges.mp4 HTTP/1.1 "
"4950","52.988814","192.168.1.26","192.168.1.12","HTTP","150","HEAD /Bentons-Road-Loop.mp4 HTTP/1.1 "
"4961","53.013422","192.168.1.26","192.168.1.12","HTTP","152","HEAD /Jossa-Berghaus-Rhon.mp4 HTTP/1.1 "
"4971","53.034485","192.168.1.26","192.168.1.12","HTTP","138","HEAD /CCW11.mp4 HTTP/1.1 "
"4985","53.063223","192.168.1.26","192.168.1.12","HTTP","164","HEAD /Berowra-Waters-East-to-Mt-White.mp4 HTTP/1.1 "
"4997","53.191330","192.168.1.26","192.168.1.12","HTTP","147","HEAD /Bettyhill-Reay.mp4 HTTP/1.1 "
"5010","53.232466","192.168.1.26","192.168.1.12","HTTP","139","HEAD /Biberg.mp4 HTTP/1.1 "
"5021","53.262308","192.168.1.26","192.168.1.12","HTTP","147","HEAD /Biddeford-Pool.mp4 HTTP/1.1 "
"5032","53.279913","192.168.1.26","192.168.1.12","HTTP","154","HEAD /Big-Brook-Forest-Loop.mp4 HTTP/1.1 "
"5043","53.308142","192.168.1.26","192.168.1.12","HTTP","152","HEAD /big-hill-to-torquay.mp4 HTTP/1.1 "
"5057","53.326928","192.168.1.26","192.168.1.12","HTTP","166","HEAD /Going-to-the-Beach-Bigbury-on-Sea.mp4 HTTP/1.1 "
"5070","53.347242","192.168.1.26","192.168.1.12","HTTP","143","HEAD /bison-fury.mp4 HTTP/1.1 "
"5082","53.383271","192.168.1.26","192.168.1.12","HTTP","142","HEAD /BlackRoad.mp4 HTTP/1.1 "
"5093","53.410960","192.168.1.26","192.168.1.12","HTTP","151","HEAD /black-rock-to-port.mp4 HTTP/1.1 "
"5107","53.434076","192.168.1.26","192.168.1.12","HTTP","150","HEAD /Blakeney-And-Cley.mp4 HTTP/1.1 "
"5119","53.464713","192.168.1.26","192.168.1.12","HTTP","159","HEAD /Blea-Tarn-and-Red-Bank-S-N.mp4 HTTP/1.1 "
"5131","53.492459","192.168.1.26","192.168.1.12","HTTP","160","HEAD /bledlow-ridge-rollercoaster.mp4 HTTP/1.1 "
"5141","53.523065","192.168.1.26","192.168.1.12","HTTP","146","HEAD /Blue-Hill-Lap.mp4 HTTP/1.1 "
"5152","53.547615","192.168.1.26","192.168.1.12","HTTP","148","HEAD /Blue-Lakes-Road.mp4 HTTP/1.1 "
"5166","53.570324","192.168.1.26","192.168.1.12","HTTP","165","HEAD /Blue-Ridge-Alhambra-Gravel-Climb.mp4 HTTP/1.1 "
"5179","53.590159","192.168.1.26","192.168.1.12","HTTP","158","HEAD /Blue-Ridge-Parkway-Cruise.mp4 HTTP/1.1 "
"5191","53.619177","192.168.1.26","192.168.1.12","HTTP","144","HEAD /bobbin-head.mp4 HTTP/1.1 "
"5203","53.647704","192.168.1.26","192.168.1.12","HTTP","144","HEAD /Bogus-Basin.mp4 HTTP/1.1 "
"5214","53.687622","192.168.1.26","192.168.1.12","HTTP","145","HEAD /Bohlman-Road.mp4 HTTP/1.1 "
"5226","53.717219","192.168.1.26","192.168.1.12","HTTP","148","HEAD /Boise-Dump-Loop.mp4 HTTP/1.1 "
"5237","53.736897","192.168.1.26","192.168.1.12","HTTP","164","HEAD /Bonny-Doom-Road-Ice-Cream-Grade.mp4 HTTP/1.1 "
"5248","53.763081","192.168.1.26","192.168.1.12","HTTP","148","HEAD /Boulder-Roubaix.mp4 HTTP/1.1 "
"5260","53.787154","192.168.1.26","192.168.1.12","HTTP","160","HEAD /Box-Hill-and-Ranmore-Common.mp4 HTTP/1.1 "
"5272","53.807183","192.168.1.26","192.168.1.12","HTTP","146","HEAD /Box-Hill-Loop.mp4 HTTP/1.1 "
"5283","53.829710","192.168.1.26","192.168.1.12","HTTP","154","HEAD /Box-Hill-Zig-Zag-Road.mp4 HTTP/1.1 "
"5294","53.852897","192.168.1.26","192.168.1.12","HTTP","143","HEAD /brads-loop.mp4 HTTP/1.1 "
"5307","53.884909","192.168.1.26","192.168.1.12","HTTP","155","HEAD /Bramberg-Recovery-Ride.mp4 HTTP/1.1 "
"5320","53.909212","192.168.1.26","192.168.1.12","HTTP","154","HEAD /Brands-Hatch-LAP-FOUR.mp4 HTTP/1.1 "
"5331","53.948799","192.168.1.26","192.168.1.12","HTTP","166","HEAD /Brekkekrysset-Til-Skar-Og-Tilbake.mp4 HTTP/1.1 "
"5343","53.981286","192.168.1.26","192.168.1.12","HTTP","148","HEAD /brexit-this-way.mp4 HTTP/1.1 "
"5355","54.007644","192.168.1.26","192.168.1.12","HTTP","152","HEAD /brisbane-river-loop.mp4 HTTP/1.1 "
"5368","54.033397","192.168.1.26","192.168.1.12","HTTP","141","HEAD /brompton.mp4 HTTP/1.1 "
"5379","54.060031","192.168.1.26","192.168.1.12","HTTP","148","HEAD /Brugge-Oostende.mp4 HTTP/1.1 "
"5392","54.188361","192.168.1.26","192.168.1.12","HTTP","146","HEAD /Buchenegg-BZF.mp4 HTTP/1.1 "
"5403","54.209596","192.168.1.26","192.168.1.12","HTTP","151","HEAD /bullitt-hill-climb.mp4 HTTP/1.1 "
"5414","54.241146","192.168.1.26","192.168.1.12","HTTP","155","HEAD /Buntingford-Gran-Fondo.mp4 HTTP/1.1 "
"5425","54.272291","192.168.1.26","192.168.1.12","HTTP","160","HEAD /burnham-beeches-explorer-19.mp4 HTTP/1.1 "
"5439","54.303817","192.168.1.26","192.168.1.12","HTTP","155","HEAD /Busselton-Coastal-Path.mp4 HTTP/1.1 "
"5451","54.334149","192.168.1.26","192.168.1.12","HTTP","162","HEAD /Busselton-To-Dunsborough-Path.mp4 HTTP/1.1 "
"5462","54.364601","192.168.1.26","192.168.1.12","HTTP","145","HEAD /Buttertubs4K.mp4 HTTP/1.1 "
"5475","54.397907","192.168.1.26","192.168.1.12","HTTP","142","HEAD /BwlchFull.mp4 HTTP/1.1 "
"5487","54.423908","192.168.1.26","192.168.1.12","HTTP","145","HEAD /Buerglhuette.mp4 HTTP/1.1 "
"5498","54.451037","192.168.1.26","192.168.1.12","HTTP","150","HEAD /cabbage-tree-road.mp4 HTTP/1.1 "
"5510","54.488786","192.168.1.26","192.168.1.12","HTTP","171","HEAD /Cadillac-Mt-Acadia-National-Park-Maine.mp4 HTTP/1.1 "
"5522","54.510466","192.168.1.26","192.168.1.12","HTTP","143","HEAD /Caerphilly.mp4 HTTP/1.1 "
"5532","54.540977","192.168.1.26","192.168.1.12","HTTP","150","HEAD /Saline-Anti-Clock.mp4 HTTP/1.1 "
"5544","54.566744","192.168.1.26","192.168.1.12","HTTP","149","HEAD /Saline-Clockwise.mp4 HTTP/1.1 "
"5556","54.596551","192.168.1.26","192.168.1.12","HTTP","171","HEAD /Campbells-and-backside-Reeds-Gap-Climb.mp4 HTTP/1.1 "
"5567","54.624489","192.168.1.26","192.168.1.12","HTTP","154","HEAD /two-bays-canadian-bay.mp4 HTTP/1.1 "
"5582","54.657194","192.168.1.26","192.168.1.12","HTTP","146","HEAD /Canberra-Loop.mp4 HTTP/1.1 "
"5594","54.684743","192.168.1.26","192.168.1.12","HTTP","151","HEAD /cap-formentor-2018.mp4 HTTP/1.1 "
"5606","54.712444","192.168.1.26","192.168.1.12","HTTP","158","HEAD /Cape-Cod-Canal-South-Side.mp4 HTTP/1.1 "
"5618","54.744293","192.168.1.26","192.168.1.12","HTTP","169","HEAD /Cape-Town-Hill-Scenic-Peninsula-Ride.mp4 HTTP/1.1 "
"5628","54.769974","192.168.1.26","192.168.1.12","HTTP","175","HEAD /Cape-Town-Cycle-Tour-2021-Stage-One-Gantry.mp4 HTTP/1.1 "
"5646","54.803657","192.168.1.26","192.168.1.12","HTTP","164","HEAD /Caper-Hill-and-Rosedale-Chimney.mp4 HTTP/1.1 "
"5659","54.828352","192.168.1.26","192.168.1.12","HTTP","147","HEAD /captain-kirkby.mp4 HTTP/1.1 "
"5677","54.854382","192.168.1.26","192.168.1.12","HTTP","149","HEAD /carry-on-cycling.mp4 HTTP/1.1 "
"5691","54.882833","192.168.1.26","192.168.1.12","HTTP","151","HEAD /Carson-East-Ascent.mp4 HTTP/1.1 "
"5701","54.910266","192.168.1.26","192.168.1.12","HTTP","156","HEAD /HPV-Casey-Fields-TT-NEW.mp4 HTTP/1.1 "
"5714","54.935974","192.168.1.26","192.168.1.12","HTTP","149","HEAD /CastellettoGarda.mp4 HTTP/1.1 "
